PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON
203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,75,46,29,0.613,31.7,111.1,4.2,0.129,0.178,0.6,0.136,0.6,0.254,11.4,7.2,8.1,33.9,0.085,0.08498930106096293,46,32,417,167,82,368,92,259,294,285,460,119,166,567,447,529,566,137,2021-22
1630565,Aaron Henry,Aaron,1610612755,PHI,22.0,6,6,0,1.0,2.8,127.0,0.2,0.048,0.111,0.0,0.0,0.3,0.25,1.7,1.5,1.2,3.0,-0.006,-0.006017065668413812,521,472,1,1,586,587,581,576,532,554,554,252,168,48,54,48,22,578,2021-22
1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,63,34,29,0.54,16.2,108.2,1.6,0.092,0.133,0.7,0.282,0.1,0.083,5.0,4.2,3.8,15.1,0.057,0.05694394825396498,184,155,417,266,352,215,410,473,478,234,81,429,444,205,221,215,239,274,2021-22
1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,52,32,20,0.615,11.0,104.3,1.4,0.117,0.169,0.4,0.256,0.1,0.1,4.2,3.1,2.8,9.8,0.054,0.05358110112972016,273,177,259,162,457,92,433,317,342,413,113,474,399,163,149,137,133,289,2021-22
1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,50,13,37,0.26,24.2,112.6,2.5,0.098,0.142,0.6,0.157,0.2,0.099,7.5,7.2,5.8,23.5,0.056,0.05576088930666741,289,400,518,526,194,438,275,434,435,277,400,372,404,368,442,365,402,279,2021-22
1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,14,11,3,0.786,10.4,96.0,1.6,0.145,0.205,0.6,0.286,0.3,0.267,4.0,2.6,2.5,9.9,0.079,0.07903786561133605,468,415,72,39,470,31,394,206,224,289,75,298,154,151,122,119,137,159,2021-22
1630278,Ade Murkey,Ade,1610612758,SAC,24.0,1,0,1,0.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.023,0.022522872221504005,589,580,23,580,600,5,583,583,583,554,554,520,520,1,1,1,7,496,2021-22
1629678,Admiral Schofield,Admiral,1610612753,ORL,25.0,38,10,28,0.263,12.3,113.8,1.9,0.146,0.214,0.1,0.085,0.1,0.122,4.6,3.7,3.0,11.9,0.024,0.023548462625503683,363,427,399,523,431,480,364,201,203,533,533,441,360,183,188,161,166,491,2021-22
1629958,Ahmad Caver,Ahmad,1610612754,IND,25.0,1,0,1,0.0,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.02287711323564232,589,580,23,580,605,5,583,583,583,554,554,520,520,1,1,1,1,496,2021-22
201143,Al Horford,Al,1610612738,BOS,36.0,69,46,23,0.667,29.1,103.4,6.1,0.201,0.285,0.7,0.17,1.3,0.393,8.1,6.8,6.4,23.8,0.144,0.1440223830452014,110,32,308,83,117,75,32,72,80,214,353,17,77,401,419,412,405,15,2021-22
202692,Alec Burks,Alec,1610612752,NYK,30.0,81,37,44,0.457,28.6,108.1,4.3,0.148,0.212,1.0,0.238,0.3,0.114,8.6,7.0,6.6,26.0,0.103,0.1025373106536223,6,120,566,363,126,210,84,188,207,86,157,271,372,432,433,419,453,75,2021-22
1630758,Aleem Ford,Aleem,1610612753,ORL,24.0,5,2,3,0.4,14.7,120.7,2.6,0.16,0.31,0.2,0.111,0.0,0.0,6.4,7.8,2.0,16.0,-0.002,-0.0016127612540472644,527,512,72,423,384,570,266,162,59,503,506,520,520,299,483,88,254,571,2021-22
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,61,19,42,0.311,20.2,106.1,4.0,0.189,0.268,0.6,0.192,0.6,0.309,6.8,5.3,4.0,18.0,0.084,0.08449000138565546,203,311,554,494,266,139,101,91,113,248,273,105,126,326,305,234,302,141,2021-22
1627936,Alex Caruso,Alex,1610612741,CHI,28.0,41,24,17,0.585,28.0,105.5,2.8,0.101,0.145,1.7,0.353,0.4,0.161,8.0,6.7,5.4,25.6,0.122,0.12232064517025844,348,250,226,202,137,120,229,411,424,9,34,232,287,396,413,345,440,38,2021-22
203458,Alex Len,Alex,1610612758,SAC,29.0,39,17,22,0.436,15.9,111.4,2.8,0.168,0.253,0.3,0.127,0.6,0.455,5.1,5.6,4.9,17.2,0.042,0.04225274801699454,359,338,284,391,362,383,231,140,134,436,478,100,51,207,327,311,282,379,2021-22
1628035,Alfonzo McKinnie,Alfonzo,1610612741,CHI,29.0,17,8,9,0.471,12.1,121.5,1.2,0.115,0.175,0.1,0.069,0.2,0.143,3.5,3.2,2.8,15.1,-0.004,-0.004147230690925825,454,446,151,349,437,573,476,332,304,530,541,401,323,132,156,141,238,575,2021-22
1628993,Alize Johnson,Alize,1610612740,NOP,26.0,23,14,9,0.609,7.3,115.7,1.4,0.202,0.311,0.2,0.2,0.0,0.0,2.7,2.5,1.8,8.5,0.01,0.009830275947923324,430,385,151,172,520,524,429,71,58,499,244,520,520,80,110,81,111,552,2021-22
1630578,Alperen Sengun,Alperen,1610612745,HOU,19.0,72,18,54,0.25,20.7,116.6,3.5,0.174,0.271,0.8,0.246,0.9,0.456,9.4,6.5,7.6,23.4,0.023,0.02252440526356427,78,331,597,532,258,539,142,129,109,172,139,47,50,480,400,499,398,496,2021-22
1629599,Amir Coffey,Amir,1610612746,LAC,25.0,69,33,36,0.478,22.7,111.0,2.5,0.102,0.149,0.6,0.167,0.2,0.101,7.5,7.6,6.9,24.1,0.063,0.06256295233416427,110,168,508,342,220,359,287,406,411,298,361,355,398,372,467,445,416,235,2021-22
203083,Andre Drummond,Andre,1610612751,BKN,28.0,73,42,31,0.575,19.7,109.8,6.2,0.305,0.46,1.1,0.316,0.9,0.405,6.9,5.8,6.0,19.0,0.06,0.060251281481081054,68,71,447,221,277,301,31,4,4,83,50,50,70,341,341,386,325,252,2021-22
