PLAYER_NAME,Salary,TEAM_ABBREVIATION,SEASON
Stephen Curry,52411485,GSW,2021-22
Chris Paul,50403633,PHO,2021-22
Russell Westbrook,50403633,WAS,2021-22
James Harden,50277018,BRK,2021-22
John Wall,50277018,HOU,2021-22
Kevin Durant,48880434,BRK,2021-22
LeBron James,47796549,LAL,2021-22
Paul George,43203114,LAC,2021-22
Mike Conley,42047453,UTA,2021-22
Kemba Walker,41897515,BOS,2021-22
Kawhi Leonard,41897515,LAC,2021-22
Jimmy Butler,41897515,MIA,2021-22
Tobias Harris,41872836,PHI,2021-22
Blake Griffin,41313933,BRK,2021-22
Kyrie Irving,41097748,BRK,2021-22
Khris Middleton,40279853,MIL,2021-22
Anthony Davis,39902395,LAL,2021-22
Damian Lillard,38543497,POR,2021-22
Kevin Love,38094169,CLE,2021-22
Ben Simmons,37242235,PHI,2021-22
Pascal Siakam,37242235,TOR,2021-22
Kyle Lowry,37170089,TOR,2021-22
Steven Adams,36064364,NOP,2021-22
Nikola Jokic,36002595,DEN,2021-22
Andrew Wiggins,36002595,GSW,2021-22
Joel Embiid,36002595,PHI,2021-22
Kristaps Porzingis,35912155,DAL,2021-22
Karl-Anthony Towns,35912155,MIN,2021-22
Devin Booker,35912155,PHO,2021-22
CJ McCollum,35773654,POR,2021-22
Andre Drummond,35039540,LAL,2021-22
Bradley Beal,35039541,WAS,2021-22
D'Angelo Russell,34914596,MIN,2021-22
Gordon Hayward,34732706,CHO,2021-22
DeMar DeRozan,33806470,SAS,2021-22
Giannis Antetokounmpo,33548245,MIL,2021-22
Rudy Gobert,33544824,UTA,2021-22
Al Horford,33514014,OKC,2021-22
Jamal Murray,33251996,DEN,2021-22
Brandon Ingram,33251996,NOP,2021-22
Jrue Holiday,32936368,MIL,2021-22
Nikola Vucevic,31685977,CHI,2021-22
Jaylen Brown,30510084,BOS,2021-22
Buddy Hield,30384192,SAC,2021-22
Draymond Green,27112175,GSW,2021-22
Harrison Barnes,27074338,SAC,2021-22
Fred VanVleet,25897193,TOR,2021-22
Victor Oladipo,25592520,MIA,2021-22
Malcolm Brogdon,25226913,IND,2021-22
Julius Randle,24184931,NYK,2021-22
Domantas Sabonis,24130090,IND,2021-22
Gary Harris,23899409,ORL,2021-22
Danilo Gallinari,23764483,ATL,2021-22
Zach LaVine,23764483,CHI,2021-22
Jerami Grant,23216072,DET,2021-22
Terry Rozier,23033268,CHO,2021-22
Aaron Gordon,22102631,DEN,2021-22
Clint Capela,21936446,ATL,2021-22
Bogdan Bogdanovic,21936446,ATL,2021-22
Myles Turner,21936446,IND,2021-22
Goran Dragic,21936446,MIA,2021-22
Bojan Bogdanovic,21753642,UTA,2021-22
LaMarcus Aldridge,21483506,BRK,2021-22
Gorgui Dieng,21433964,SAS,2021-22
Evan Fournier,20900558,BOS,2021-22
Ricky Rubio,20717754,MIN,2021-22
Eric Bledsoe,20565418,NOP,2021-22
Eric Gordon,20558431,HOU,2021-22
Caris LeVert,19747315,IND,2021-22
Joe Harris,19586113,BRK,2021-22
James Johnson,19556463,NOP,2021-22
Cody Zeller,18787018,CHO,2021-22
Danny Green,18726233,PHI,2021-22
Jonas Valanciunas,18280371,MEM,2021-22
Andre Iguodala,18280371,MIA,2021-22
Davis Bertans,18280371,WAS,2021-22
Marcus Morris,18138663,LAC,2021-22
Rudy Gay,17671026,SAS,2021-22
Dejounte Murray,17410226,SAS,2021-22
Will Barton,16724363,DEN,2021-22
Thaddeus Young,16507175,CHI,2021-22
Terrence Ross,16452334,ORL,2021-22
Malik Beasley,16362023,MIN,2021-22
