TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612737,Atlanta Hawks,5,1,4,0.2,240.0,101.8,104.1,109.5,115.9,-7.7,-11.8,0.541,1.13,15.1,0.246,0.695,0.473,0.175,0.513,0.554,97.8,94.0,78.33,468,0.43,13,13,1,13,13,14,12,15,13,16,15,13,13,11,16,10,10,11,16,2021-22
1610612738,Boston Celtics,24,14,10,0.583,1152.0,108.1,110.3,103.9,106.3,4.2,3.9,0.667,1.67,18.5,0.271,0.713,0.5,0.154,0.533,0.574,97.9,95.79,79.83,2297,0.529,1,2,16,3,1,9,2,2,1,8,3,10,10,7,11,7,8,7,2,2021-22
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,113.4,115.0,116.7,119.2,-3.3,-4.1,0.567,1.46,17.3,0.29,0.642,0.471,0.161,0.577,0.61,96.7,95.0,79.17,379,0.468,16,16,1,16,16,2,14,10,10,14,6,5,16,13,13,1,1,8,11,2021-22
1610612741,Chicago Bulls,5,1,4,0.2,240.0,93.9,94.4,107.1,108.3,-13.1,-13.8,0.632,1.77,17.2,0.185,0.776,0.463,0.129,0.461,0.493,101.9,101.1,84.25,504,0.433,13,13,1,13,13,16,5,16,5,6,8,16,3,15,4,16,16,3,15,2021-22
1610612742,Dallas Mavericks,18,9,9,0.5,864.0,112.1,113.9,111.8,113.3,0.3,0.6,0.528,1.88,15.7,0.207,0.706,0.451,0.109,0.546,0.584,94.6,93.31,77.75,1681,0.48,3,4,15,6,3,6,9,7,15,3,13,15,11,16,2,4,6,13,9,2021-22
1610612743,Denver Nuggets,5,1,4,0.2,240.0,111.0,113.9,118.7,121.9,-7.7,-8.0,0.635,1.52,18.2,0.339,0.755,0.54,0.17,0.543,0.586,99.2,96.7,80.58,483,0.455,13,13,1,13,13,5,16,13,3,9,4,2,5,3,14,6,5,6,13,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,1056.0,112.4,114.5,107.3,109.6,5.1,4.9,0.653,1.86,19.6,0.283,0.731,0.515,0.149,0.561,0.59,99.6,97.61,81.34,2150,0.53,2,1,10,1,2,4,6,1,2,4,1,7,7,6,9,2,4,5,1,2021-22
1610612763,Memphis Grizzlies,12,6,6,0.5,576.0,107.3,109.8,104.9,107.1,2.4,2.7,0.633,1.8,17.5,0.29,0.725,0.496,0.137,0.507,0.545,104.9,102.67,85.56,1230,0.51,6,7,10,6,7,10,4,4,4,5,5,4,8,8,5,12,13,2,5,2021-22
1610612748,Miami Heat,18,11,7,0.611,864.0,106.4,110.7,104.9,107.0,1.5,3.8,0.576,1.69,16.8,0.303,0.748,0.516,0.138,0.509,0.55,96.8,93.97,78.31,1694,0.515,3,3,14,2,3,8,3,3,9,7,9,3,6,5,6,11,11,12,4,2021-22
1610612749,Milwaukee Bucks,12,7,5,0.583,576.0,101.6,103.4,101.4,102.7,0.2,0.6,0.541,1.52,15.6,0.264,0.804,0.535,0.138,0.498,0.529,100.5,99.0,82.5,1193,0.507,6,5,9,3,7,15,1,6,12,10,14,11,1,4,7,14,15,4,6,2021-22
1610612750,Minnesota Timberwolves,6,2,4,0.333,288.0,104.0,105.8,108.6,111.7,-4.6,-5.9,0.628,1.29,16.7,0.234,0.688,0.47,0.171,0.527,0.579,105.3,102.92,85.76,619,0.47,9,9,1,9,10,13,8,11,6,15,10,14,14,14,15,8,7,1,10,2021-22
1610612740,New Orleans Pelicans,6,2,4,0.333,288.0,114.0,115.6,117.1,117.8,-3.1,-2.2,0.547,1.47,15.9,0.387,0.77,0.563,0.153,0.518,0.566,95.7,94.75,78.96,570,0.467,9,9,1,9,10,1,13,9,11,13,12,1,4,1,10,9,9,9,12,2021-22
1610612755,Philadelphia 76ers,12,6,6,0.5,581.0,109.6,112.3,108.6,111.3,1.0,1.0,0.597,1.47,17.3,0.259,0.702,0.493,0.158,0.545,0.592,94.8,92.53,77.11,1117,0.506,6,7,10,6,6,7,7,5,8,11,7,12,12,9,12,5,2,14,7,2021-22
1610612756,Phoenix Suns,13,7,6,0.538,624.0,113.3,114.9,113.3,114.9,0.0,0.0,0.624,1.93,19.6,0.278,0.686,0.491,0.142,0.557,0.591,95.4,94.12,78.43,1218,0.523,5,5,10,5,5,3,11,8,7,2,2,8,15,10,8,3,3,10,3,2021-22
1610612761,Toronto Raptors,6,2,4,0.333,293.0,108.3,109.6,116.8,119.5,-8.5,-9.9,0.539,2.07,16.1,0.272,0.714,0.473,0.106,0.503,0.542,93.7,92.15,76.79,565,0.443,9,9,1,9,9,11,15,14,14,1,11,9,9,12,1,13,14,15,14,2021-22
1610612762,Utah Jazz,6,2,4,0.333,288.0,106.5,108.4,112.4,114.8,-6.0,-6.4,0.49,1.47,14.1,0.284,0.804,0.544,0.128,0.495,0.546,93.0,91.25,76.04,548,0.481,9,9,1,9,10,12,10,12,16,12,16,6,2,2,3,15,12,16,8,2021-22
1610612737,Atlanta Hawks,6,2,4,0.333,288.0,110.9,114.3,119.3,118.8,-8.4,-4.5,0.557,1.91,17.3,0.297,0.764,0.511,0.127,0.529,0.558,103.0,101.67,84.72,608,0.458,10,10,1,10,11,5,14,10,12,7,11,6,3,6,5,6,9,4,13,2022-23
1610612738,Boston Celtics,20,11,9,0.55,965.0,115.1,116.1,110.1,112.9,5.1,3.2,0.591,1.95,18.2,0.266,0.716,0.497,0.129,0.56,0.594,97.5,95.83,79.85,1929,0.526,2,3,15,4,2,4,10,2,10,6,5,13,5,9,7,1,1,9,3,2022-23
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,100.8,102.5,112.5,114.3,-11.7,-11.8,0.654,1.82,18.5,0.173,0.632,0.405,0.136,0.513,0.542,92.0,90.5,75.42,361,0.446,16,16,1,16,16,15,11,16,2,9,4,16,15,16,10,11,13,16,14,2022-23
1610612739,Cleveland Cavaliers,5,1,4,0.2,240.0,101.1,101.9,104.6,107.3,-3.6,-5.4,0.625,1.39,17.5,0.276,0.606,0.451,0.171,0.513,0.544,94.2,92.6,77.17,462,0.474,12,12,1,12,14,16,1,12,3,15,9,9,16,15,16,12,12,14,10,2022-23
